timestamp,speaker
"(1175.96534375, 1178.05784375)",SPEAKER_04
"(1179.7115937500002, 1180.70721875)",SPEAKER_04
"(1183.5084687500002, 1195.37159375)",SPEAKER_01
"(1193.3465937500002, 1194.9665937500001)",SPEAKER_02
"(1199.5228437500002, 1201.41284375)",SPEAKER_04
"(1205.1590937500002, 1219.41846875)",SPEAKER_01
"(1214.5584687500002, 1215.43596875)",SPEAKER_04
"(1219.55346875, 1220.9034687500002)",SPEAKER_01
"(1221.0384687500002, 1221.9665937500001)",SPEAKER_01
"(1223.77221875, 1227.3665937500002)",SPEAKER_01
"(1227.97409375, 1228.7503437500002)",SPEAKER_01
"(1229.2903437500001, 1233.57659375)",SPEAKER_01
"(1231.5684687500002, 1232.61471875)",SPEAKER_00
"(1233.8465937500002, 1243.2628437500002)",SPEAKER_01
"(1243.9209687500002, 1247.4309687500001)",SPEAKER_01
"(1247.93721875, 1249.2872187500002)",SPEAKER_01
"(1249.6922187500002, 1252.9322187500002)",SPEAKER_01
"(1253.13471875, 1257.5728437500002)",SPEAKER_01
"(1258.0115937500002, 1262.0784687500002)",SPEAKER_01
"(1263.7828437500002, 1267.7315937500002)",SPEAKER_01
"(1267.9678437500002, 1271.2415937500002)",SPEAKER_01
"(1271.4778437500001, 1280.15159375)",SPEAKER_01
"(1288.2684687500002, 1290.1922187500002)",SPEAKER_06
"(1305.2784687500002, 1306.0715937500001)",SPEAKER_07
"(1324.8197187500002, 1325.7647187500002)",SPEAKER_07
"(1337.96534375, 1338.8259687500001)",SPEAKER_07
"(1363.2947187500001, 1364.23971875)",SPEAKER_07
"(1376.8115937500002, 1377.72284375)",SPEAKER_07
"(1392.8765937500002, 1393.8890937500003)",SPEAKER_07
"(1441.0547187500001, 1441.9659687500002)",SPEAKER_06
"(1443.8897187500002, 1444.68284375)",SPEAKER_06
"(1450.01534375, 1451.44971875)",SPEAKER_08
"(1465.0509687500003, 1466.0297187500003)",SPEAKER_07
"(1468.7634687500001, 1469.57346875)",SPEAKER_07
"(1553.96534375, 1554.92721875)",SPEAKER_04
"(1583.9690937500002, 1585.5553437500002)",SPEAKER_07
"(1657.5609687500003, 1672.2928437500002)",SPEAKER_06
"(1673.3222187500003, 1678.5703437500001)",SPEAKER_06
"(1681.1690937500002, 1682.6878437500002)",SPEAKER_06
"(1706.3297187500002, 1710.2953437500003)",SPEAKER_06
"(1731.1865937500002, 1732.11471875)",SPEAKER_06
"(1734.2915937500002, 1746.7115937500002)",SPEAKER_06
"(1747.5215937500002, 1748.2640937500003)",SPEAKER_06
"(1773.74534375, 1774.4878437500001)",SPEAKER_07
"(1826.07471875, 1826.9353437500001)",SPEAKER_07
"(1852.65284375, 1854.2390937500002)",SPEAKER_06
"(1855.0659687500001, 1862.0859687500001)",SPEAKER_06
