timestamp
"(0.03096875, 3.0853437500000003)"
"(1774.0659687500001, 1774.3865937500002)"
"(1829.3990937500002, 1829.73659375)"
"(1831.82909375, 1832.7234687500002)"
"(1835.7272187500002, 1836.5203437500002)"
"(1837.4315937500003, 1838.5115937500002)"
"(1840.28346875, 1840.7728437500002)"
"(1842.6965937500001, 1844.2997187500002)"
"(1844.50221875, 1845.1603437500003)"
"(1845.34596875, 1846.0884687500002)"
"(1846.5778437500003, 1847.6072187500001)"
"(1851.25221875, 1851.7247187500002)"
"(1852.7540937500003, 1854.2390937500002)"
"(1855.2347187500002, 1859.82471875)"
"(1860.51659375, 1868.1609687500002)"
"(1868.4478437500002, 1876.5815937500001)"
"(1877.4253437500001, 1877.7965937500003)"
"(1895.0597187500002, 1895.5153437500003)"
"(1896.51096875, 1899.2109687500001)"
"(1899.8690937500003, 1900.9997187500003)"
"(1901.1009687500002, 1901.59034375)"
"(1901.99534375, 1903.6153437500002)"
"(1904.6615937500003, 1908.7115937500002)"
"(1909.3697187500002, 1909.74096875)"
"(1910.1797187500001, 1910.3315937500001)"
"(1912.27221875, 1912.6434687500002)"
"(1921.1147187500003, 1921.41846875)"
"(1930.54784375, 1930.7334687500002)"
"(1960.21409375, 1964.7534687500001)"
"(1967.7740937500002, 1968.4659687500002)"
"(1972.8534687500003, 1973.1065937500002)"
"(1975.1484687500001, 1975.4859687500002)"
"(1984.6322187500002, 1984.8853437500002)"
"(1986.4715937500002, 1987.09596875)"
"(1988.9859687500002, 1989.8465937500002)"
"(1991.58471875, 1992.0909687500002)"
"(1992.7659687500002, 1993.13721875)"
"(1995.24659375, 1997.91284375)"
"(1998.2334687500002, 1999.1447187500003)"
"(1999.3809687500002, 2001.1190937500003)"
"(2001.7603437500002, 2002.3340937500002)"
"(2002.6209687500002, 2003.6165937500002)"
"(2003.9372187500003, 2004.8822187500002)"
"(2007.32909375, 2008.2572187500002)"
"(2008.4765937500001, 2008.9828437500003)"
"(2012.96534375, 2013.4378437500002)"
"(2020.0190937500001, 2020.2215937500002)"
"(2032.8609687500002, 2033.6709687500002)"
"(2041.6359687500003, 2045.2640937500003)"
"(2058.52784375, 2062.4597187500003)"
"(2062.7803437500006, 2065.14284375)"
"(2069.98596875, 2071.5215937499997)"
"(2072.1122187500005, 2072.50034375)"
